rowNumber,Date,Company,Level,Title,TCOMP,Location,YearsOfExperience,YearsOfService,Tag,BaseSalary,StockGrant,Bonus,Gender,CityId
90,2017-09-08,AMAZON,L5,Software Engineer,197.0,"Seattle, WA",6,6,NotDisclosed,161.0,36.0,0.0,NotDisclosed,11527
91,2017-09-08,AMAZON,5,Software Engineer,132.0,"Seattle, WA",2,1,NotDisclosed,76.0,56.0,0.0,NotDisclosed,11527
96,2017-09-10,AMAZON,L5,Software Engineer,167.0,"Seattle, WA",7,8,NotDisclosed,117.0,50.0,0.0,NotDisclosed,11527
144,2017-11-09,AMAZON,L4,Software Engineer,189.0,"Seattle, WA",0,0,NotDisclosed,158.0,4.0,27.0,NotDisclosed,11527
166,2017-11-30,AMAZON,L5,Software Engineer,159.0,"Seattle, WA",5,6,NotDisclosed,133.0,26.0,0.0,NotDisclosed,11527
192,2017-12-28,AMAZON,L6,Software Engineer,178.0,"Seattle, WA",18,2,NotDisclosed,81.0,97.0,0.0,NotDisclosed,11527
208,2018-01-04,AMAZON,L4,Software Engineer,150.0,"Seattle, WA",1,0,NotDisclosed,117.0,3.0,30.0,NotDisclosed,11527
230,2018-01-17,AMAZON,L4,Software Engineer,137.0,"Seattle, WA",1,0,NotDisclosed,108.0,4.0,25.0,NotDisclosed,11527
280,2018-02-06,AMAZON,SDE II,Software Engineer,288.0,"Seattle, WA",6,5,NotDisclosed,188.0,100.0,0.0,NotDisclosed,11527
334,2018-02-25,AMAZON,L5,Software Engineer,161.0,"Seattle, WA",4,3,NotDisclosed,122.0,24.0,15.0,NotDisclosed,11527
336,2018-02-26,AMAZON,L5,Software Engineer,133.0,"Seattle, WA",4,1,NotDisclosed,95.0,31.0,7.0,NotDisclosed,11527
341,2018-02-27,AMAZON,L5,Software Engineer,223.0,"Seattle, WA",2,4,NotDisclosed,145.0,78.0,0.0,NotDisclosed,11527
351,2018-03-02,AMAZON,5,Software Engineer,142.0,"Seattle, WA",4,5,NotDisclosed,106.0,36.0,0.0,NotDisclosed,11527
406,2018-03-20,AMAZON,L5,Software Engineer,193.0,"Seattle, WA",13,2,NotDisclosed,83.0,110.0,0.0,NotDisclosed,11527
480,2018-04-12,AMAZON,L5,Software Engineer,180.0,"Seattle, WA",13,1,NotDisclosed,163.0,17.0,0.0,Male,11527
515,2018-04-21,AMAZON,L5 / SDE2,Software Engineer,263.0,"Seattle, WA",6,2,NotDisclosed,198.0,65.0,0.0,Female,11527
523,2018-04-23,AMAZON,L6 - SDE3 - Senior Engineer,Software Engineer,279.0,"Seattle, WA",11,5,NotDisclosed,172.0,107.0,0.0,Male,11527
574,2018-05-05,AMAZON,L5,Software Engineer,286.0,"Seattle, WA",3,7,NotDisclosed,174.0,112.0,0.0,Male,11527
587,2018-05-07,AMAZON,L5,Software Engineer,140.0,"Seattle, WA",5,1,NotDisclosed,80.0,29.0,31.0,Male,11527
