rowNumber,Date,Company,Level,Title,TCOMP,Location,YearsOfExperience,YearsOfService,Tag,BaseSalary,StockGrant,Bonus,Gender,CityId
53,2017-08-13,AMAZON,L5,Software Engineer,231.0,"Dublin, DN, Ireland",11,3,NotDisclosed,115.0,115.0,1.0,NotDisclosed,4015
381,2018-03-11,GOOGLE,5,Software Engineer,227.0,"Dublin, DN, Ireland",20,7,NotDisclosed,64.0,133.0,30.0,NotDisclosed,4015
383,2018-03-11,INTERCOM,Senior,Software Engineer,181.0,"Dublin, DN, Ireland",9,1,NotDisclosed,150.0,31.0,0.0,NotDisclosed,4015
897,2018-06-12,AMAZON,L5,Software Engineer,133.0,"Dublin, DN, Ireland",15,2,Full Stack,87.0,46.0,0.0,Male,4015
1906,2018-09-07,AMAZON,L6,Product Manager,129.0,"Dublin, DN, Ireland",10,0,DevOps,129.0,0.0,0.0,NotDisclosed,4015
1969,2018-09-09,WORKDAY,P4,Software Engineer,92.0,"Dublin, DN, Ireland",8,0,Distributed Systems (Back-End),56.0,36.0,0.0,NotDisclosed,4015
3290,2018-10-31,AMAZON,6,Software Engineer,238.0,"Dublin, DN, Ireland",25,5,Distributed Systems (Back-End),155.0,83.0,0.0,NotDisclosed,4015
4729,2018-12-27,GOOGLE,L3,Software Engineer,114.0,"Dublin, DN, Ireland",7,1,DevOps,69.0,10.0,35.0,Female,4015
4862,2019-01-05,INTERCOM,PE2,Software Engineer,72.0,"Dublin, DN, Ireland",8,2,Distributed Systems (Back-End),72.0,0.0,0.0,Male,4015
4985,2019-01-11,FACEBOOK,L6,Software Engineering Manager,178.0,"Dublin, DN, Ireland",19,1,DevOps,70.0,87.0,21.0,Male,4015
5308,2019-01-23,MICROSOFT,60,Software Engineer,98.0,"Dublin, DN, Ireland",5,1,Full Stack,91.0,0.0,7.0,Male,4015
5733,2019-02-08,WORKDAY,P3,Software Engineer,114.0,"Dublin, DN, Ireland",10,3,API Development (Back-End),68.0,41.0,5.0,Female,4015
6319,2019-03-02,AMAZON,L5,Software Engineer,160.0,"Dublin, DN, Ireland",12,1,Web Development (Front-End),122.0,25.0,13.0,Male,4015
7073,2019-03-26,MICROSOFT,63,Software Engineer,142.0,"Dublin, DN, Ireland",9,0,Distributed Systems (Back-End),98.0,33.0,11.0,Male,4015
7846,2019-04-16,MICROSOFT,63,Software Engineer,139.0,"Dublin, DN, Ireland",9,0,SRE,125.0,0.0,14.0,Male,4015
8485,2019-05-07,MICROSOFT,Principal SDE,Software Engineer,172.0,"Dublin, DN, Ireland",15,3,DevOps,122.0,22.0,28.0,NotDisclosed,4015
8716,2019-05-15,GOOGLE,L5,Software Engineer,201.0,"Dublin, DN, Ireland",11,6,DevOps,154.0,42.0,5.0,Male,4015
9576,2019-06-08,FACEBOOK,IC5,Software Engineer,209.0,"Dublin, DN, Ireland",12,4,Networking,121.0,71.0,17.0,Male,4015
9776,2019-06-14,MICROSOFT,62,Software Engineer,144.0,"Dublin, DN, Ireland",3,1,ML / AI,114.0,25.0,5.0,Male,4015
10485,2019-06-17,WORKDAY,P3,Software Engineer,99.0,"Dublin, DN, Ireland",4,2,Business logic,61.0,36.0,2.0,Male,4015
11935,2019-07-16,WORKDAY,SWE II,Software Engineer,108.0,"Dublin, DN, Ireland",2,3,Distributed Systems (Back-End),61.0,38.0,9.0,Male,4015
11989,2019-07-16,AMAZON,L4,Software Engineer,158.0,"Dublin, DN, Ireland",5,0,Distributed Systems (Back-End),80.0,61.0,17.0,Male,4015
14518,2019-09-13,ORACLE,IC-2,Solution Architect,109.0,"Dublin, DN, Ireland",1,1,DevOps,79.0,0.0,30.0,Male,4015
14531,2019-09-13,JPMORGAN CHASE,Associate,Software Engineer,108.0,"Dublin, DN, Ireland",6,1,Distributed Systems (Back-End),99.0,0.0,9.0,Male,4015
16421,2019-10-18,AMAZON,SDE II,Software Engineer,135.0,"Dublin, DN, Ireland",6,1,Distributed Systems (Back-End),94.0,41.0,0.0,Male,4015
16740,2019-10-26,AMAZON,L4,Software Engineer,100.0,"Dublin, DN, Ireland",3,0,Full Stack,71.0,8.0,21.0,Male,4015
17199,2019-11-06,CIRCLECI,E5,Software Engineer,143.0,"Dublin, DN, Ireland",19,9,Full Stack,143.0,0.0,0.0,Male,4015
17430,2019-11-11,GOOGLE,5,Software Engineer,202.0,"Dublin, DN, Ireland",8,6,DevOps,91.0,92.0,19.0,Male,4015
18309,2019-12-01,MICROSOFT,65,Software Engineer,243.0,"Dublin, DN, Ireland",12,1,Distributed Systems (Back-End),181.0,30.0,32.0,Male,4015
18547,2019-12-07,INTERCOM,Product Engineer 1,Software Engineer,66.0,"Dublin, DN, Ireland",3,0,Distributed Systems (Back-End),66.0,0.0,0.0,Male,4015
18548,2019-12-07,INTERCOM,Product Engineer 2,Software Engineer,71.0,"Dublin, DN, Ireland",3,1,Distributed Systems (Back-End),71.0,0.0,0.0,Male,4015
18549,2019-12-07,INTERCOM,Product Engineer 3,Software Engineer,107.0,"Dublin, DN, Ireland",5,1,Distributed Systems (Back-End),107.0,0.0,0.0,Male,4015
18624,2019-12-09,AMAZON,L6,Software Engineering Manager,184.0,"Dublin, DN, Ireland",10,11,Security,60.0,124.0,0.0,Male,4015
19445,2019-12-30,FACEBOOK,E5,Software Engineer,219.0,"Dublin, DN, Ireland",10,0,Distributed Systems (Back-End),120.0,83.0,16.0,Male,4015
19652,2020-01-04,ARISTA NETWORKS,L3 (New Grad),Software Engineer,96.0,"Dublin, DN, Ireland",0,0,API Development (Back-End),82.0,14.0,0.0,Male,4015
20963,2020-01-24,DELL TECHNOLOGIES,Principal Engineer,Software Engineer,72.0,"Cork, CK, Ireland",14,3,Full Stack,61.0,0.0,11.0,Male,4013
21172,2020-01-27,MONGODB,Software Engineer,Software Engineer,252.0,"Dublin, DN, Ireland",14,3,Technical Services,133.0,119.0,0.0,Male,4015
21388,2020-01-30,AMAZON,SDE I,Software Engineer,67.0,"Dublin, DN, Ireland",0,0,Web Development (Front-End),57.0,10.0,0.0,Female,4015
22388,2020-02-13,FIDELITY INVESTMENTS,4,Software Engineer,63.0,"Dublin, DN, Ireland",2,2,Full Stack,61.0,0.0,2.0,Male,4015
22783,2020-02-15,WORKDAY,Senior SWE,Software Engineer,140.0,"Dublin, DN, Ireland",12,3,Site Reliability (SRE),72.0,68.0,0.0,Male,4015
23006,2020-02-16,HUBSPOT,SSE2,Software Engineer,94.0,"Dublin, DN, Ireland",6,1,Distributed Systems (Back-End),70.0,20.0,4.0,Male,4015
23011,2020-02-16,MICROSOFT,64,Software Engineer,173.0,"Dublin, DN, Ireland",9,9,Full Stack,138.0,16.0,19.0,Male,4015
23405,2020-02-20,CISCO,Software Engineer 2,Software Engineer,113.0,"Galway, GY, Ireland",2,0,API Development (Back-End),98.0,0.0,15.0,Male,4018
23758,2020-02-25,PIVOTAL,P3,Software Engineer,80.0,"Dublin, DN, Ireland",12,3,Full Stack,69.0,11.0,0.0,NotDisclosed,4015
23908,2020-02-27,MICROSOFT,60,Software Engineer,91.0,"Dublin, DN, Ireland",1,1,Distributed Systems (Back-End),63.0,16.0,12.0,NotDisclosed,4015
23986,2020-02-28,MICROSOFT,62,Software Engineer,74.0,"Dublin, DN, Ireland",5,8,Distributed Systems (Back-End),51.0,10.0,13.0,Male,4015
24401,2020-03-05,HUBSPOT,Software Engineer,Software Engineer,75.0,"Dublin, DN, Ireland",0,0,Distributed Systems (Back-End),63.0,3.0,9.0,Male,4015
25935,2020-04-03,FACEBOOK,IC3,Software Engineer,127.0,"Dublin, DN, Ireland",10,0,Full Stack,109.0,10.0,8.0,Male,4015
26334,2020-04-10,MICROSOFT,61,Software Engineer,85.0,"Dublin, DN, Ireland",4,0,Full Stack,69.0,9.0,7.0,Male,4015
26433,2020-04-11,AMAZON,L5,Software Engineer,181.0,"Dublin, DN, Ireland",8,0,Networking,141.0,0.0,40.0,Male,4015
26681,2020-04-15,WORKDAY,P3,Software Engineer,96.0,"Dublin, DN, Ireland",3,2,Site Reliability (SRE),65.0,23.0,8.0,Male,4015
26731,2020-04-16,WORKDAY,P5,Software Engineer,181.0,"Dublin, DN, Ireland",10,4,App Dev,79.0,97.0,5.0,Male,4015
26738,2020-04-16,TWILIO,IC3,Software Engineer,156.0,"Dublin, DN, Ireland",6,0,Data,113.0,43.0,0.0,Male,4015
26806,2020-04-17,GROUPON,Director (L9),Software Engineering Manager,263.0,"Dublin, DN, Ireland",10,1,Full Stack,189.0,38.0,36.0,NotDisclosed,4015
26960,2020-04-19,MICROSOFT,Senior SDE,Software Engineer,209.0,"Dublin, DN, Ireland",9,1,Distributed Systems (Back-End),121.0,59.0,29.0,Male,4015
28179,2020-05-08,MICROSOFT,63,Software Engineer,175.0,"Dublin, DN, Ireland",8,2,Distributed Systems (Back-End),117.0,35.0,23.0,Male,4015
28291,2020-05-10,SLACK,G04,Software Engineer,164.0,"Dublin, DN, Ireland",14,0,Site Reliability (SRE),90.0,64.0,10.0,Male,4015
